asset_id,org_id,hostname,fqdn,asset_type,env,owner_team,business_service,criticality,os,tags,ip
AST-CTNCSBP,ORG-ACME,db-staging-667,db-staging-667.org-acme.example.com,db,staging,Platform,Payments API,Low,Amazon Linux 2,pii,192.0.2.13
AST-8UO9B4K,ORG-ACME,vm-dev-643,vm-dev-643.org-acme.example.com,vm,dev,Payments,Identity,Low,RHEL 9,pci;internet_exposed;internal_only,192.0.2.150
AST-ZUWRT1Q,ORG-ACME,vm-staging-100,vm-staging-100.org-acme.example.com,vm,staging,IT Ops,Analytics,High,Windows Server 2019,hipaa_like,192.0.2.141
AST-RMQVCSF,ORG-ACME,api-dev-308,api-dev-308.org-acme.example.com,api,dev,Data,Payments API,Critical,Amazon Linux 2,pii,192.0.2.135
AST-3MMR2CD,ORG-ACME,net-dev-809,net-dev-809.org-acme.example.com,network_device,dev,Data,Order Processing,Low,Ubuntu 22.04,internal_only;legacy;third_party,192.0.2.225
AST-5M7MVRH,ORG-ACME,end-staging-734,end-staging-734.org-acme.example.com,endpoint,staging,Data,Payments API,Medium,Amazon Linux 2,third_party;internet_exposed,192.0.2.99
AST-KEPTZ9Y,ORG-ACME,db-staging-412,db-staging-412.org-acme.example.com,db,staging,IT Ops,Payments API,Medium,Ubuntu 20.04,pci,192.0.2.141
AST-RVJAPNU,ORG-ACME,vm-dev-239,vm-dev-239.org-acme.example.com,vm,dev,Payments,EMR,Low,N/A (SaaS),high_change_rate;hipaa_like;third_party,192.0.2.4
AST-WCCHFMB,ORG-ACME,saa-prod-494,saa-prod-494.org-acme.example.com,saas,prod,Platform,Identity,Medium,N/A (SaaS),pii;pci;internal_only,
AST-WFJMNE4,ORG-ACME,web-prod-896,web-prod-896.org-acme.example.com,web_app,prod,IT Ops,Order Processing,Critical,RHEL 9,pci,192.0.2.54
AST-J3FA8TF,ORG-ACME,api-dev-351,api-dev-351.org-acme.example.com,api,dev,Security,Customer Portal,High,Ubuntu 20.04,internal_only;third_party;pci,192.0.2.190
AST-T2LI394,ORG-ACME,db-staging-791,db-staging-791.org-acme.example.com,db,staging,Infra,Payments API,Critical,Windows Server 2019,third_party,192.0.2.58
AST-BKJY8Q7,ORG-ACME,k8s-dev-030,k8s-dev-030.org-acme.example.com,k8s_node,dev,Data,Analytics,Low,Windows Server 2019,hipaa_like,192.0.2.254
AST-R9VA6MX,ORG-ACME,end-prod-346,end-prod-346.org-acme.example.com,endpoint,prod,Infra,EMR,Low,Amazon Linux 2,hipaa_like;third_party;pii,192.0.2.53
AST-D8ZQ0DF,ORG-ACME,saa-dev-341,saa-dev-341.org-acme.example.com,saas,dev,Payments,Customer Portal,Medium,N/A (SaaS),third_party;high_change_rate;legacy,
AST-9XMTEA8,ORG-ACME,db-dev-847,db-dev-847.org-acme.example.com,db,dev,Customer Apps,Customer Portal,Medium,Amazon Linux 2,hipaa_like,192.0.2.153
AST-S1LT4C0,ORG-ACME,web-staging-218,web-staging-218.org-acme.example.com,web_app,staging,IT Ops,EMR,Critical,Windows Server 2022,pci;internal_only;high_change_rate,192.0.2.75
AST-V1FFWEC,ORG-ACME,web-staging-796,web-staging-796.org-acme.example.com,web_app,staging,Customer Apps,Identity,Critical,Ubuntu 20.04,internet_exposed;pii;high_change_rate,192.0.2.47
AST-SU16PWS,ORG-ACME,con-prod-791,con-prod-791.org-acme.example.com,container,prod,Security,Payments API,High,N/A (SaaS),third_party;internal_only;pii,192.0.2.26
AST-6HQOOLY,ORG-ACME,net-staging-945,net-staging-945.org-acme.example.com,network_device,staging,IT Ops,Customer Portal,Medium,RHEL 9,pci,192.0.2.144
AST-EQ0D5FY,ORG-ACME,k8s-prod-260,k8s-prod-260.org-acme.example.com,k8s_node,prod,Payments,Payments API,Critical,Amazon Linux 2,high_change_rate;pii,192.0.2.227
AST-NMQZNSK,ORG-ACME,k8s-staging-095,k8s-staging-095.org-acme.example.com,k8s_node,staging,Platform,Customer Portal,Medium,Ubuntu 20.04,internal_only,192.0.2.185
AST-G134Y8O,ORG-ACME,con-prod-928,con-prod-928.org-acme.example.com,container,prod,Security,Identity,Critical,RHEL 8,internal_only,192.0.2.200
AST-6JADJVI,ORG-ACME,web-dev-188,web-dev-188.org-acme.example.com,web_app,dev,Data,POS,Low,N/A (SaaS),legacy,192.0.2.109
AST-JESIDFB,ORG-ACME,net-staging-949,net-staging-949.org-acme.example.com,network_device,staging,Payments,Analytics,High,Windows Server 2019,third_party;internal_only,192.0.2.235
AST-AJA0TGR,ORG-ACME,db-staging-356,db-staging-356.org-acme.example.com,db,staging,IT Ops,Customer Portal,Critical,N/A (SaaS),high_change_rate;internal_only;pci,192.0.2.206
AST-3ZWOMBE,ORG-ACME,vm-prod-351,vm-prod-351.org-acme.example.com,vm,prod,Platform,EMR,High,Amazon Linux 2,internet_exposed,192.0.2.51
AST-5YKIKQF,ORG-ACME,api-dev-862,api-dev-862.org-acme.example.com,api,dev,IT Ops,Customer Portal,High,RHEL 8,legacy;pii,192.0.2.98
AST-GMDKXI1,ORG-ACME,web-staging-224,web-staging-224.org-acme.example.com,web_app,staging,Platform,Analytics,Low,Windows Server 2022,internet_exposed;hipaa_like,192.0.2.92
AST-IVT1XZ5,ORG-ACME,web-staging-312,web-staging-312.org-acme.example.com,web_app,staging,IT Ops,POS,High,N/A (SaaS),internal_only,192.0.2.162
AST-ZSPZS61,ORG-ACME,db-prod-845,db-prod-845.org-acme.example.com,db,prod,Security,POS,Low,Windows Server 2019,internet_exposed,192.0.2.214
AST-8NQBATI,ORG-ACME,web-prod-653,web-prod-653.org-acme.example.com,web_app,prod,Data,Customer Portal,Critical,Ubuntu 20.04,pii;legacy;internal_only,192.0.2.93
